STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19460401,42,0,0,197,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0.37,0,0,-9999,0,0,1.00,0,0,0.0,0,0,96.1,0,0,30.9,0,0,75.0,0,0,44.6,0,0,59.7,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19460501,25,0,0,223,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,3,0,0,2,0,0,2.26,0,0,-9999,0,0,6.09,0,0,0.0,0,0,89.1,0,0,28.9,0,0,71.6,0,0,45.7,0,0,58.6,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19460601,387,0,0,49,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.45,0,0,-9999,0,0,0.82,0,0,0.0,0,0,111.0,0,0,42.1,0,0,90.3,0,0,62.1,0,0,76.3,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19460701,507,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0.65,0,0,-9999,0,0,2.09,0,0,0.0,0,0,109.9,0,0,53.1,0,0,97.2,0,0,65.5,0,0,81.3,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19460801,383,0,0,12,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0.55,0,0,-9999,0,0,1.64,0,0,0.0,0,0,111.0,0,0,51.1,0,0,90.3,0,0,63.5,0,0,76.8,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19460901,168,0,0,61,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,2.80,0,0,-9999,0,0,4.57,0,0,0.0,0,0,102.0,0,0,37.0,0,0,80.4,0,0,56.5,0,0,68.5,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19461001,25,0,0,326,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,2,0,0,0,0,0,0.98,0,0,-9999,0,0,3.31,0,0,0.0,0,0,82.9,0,0,28.9,0,0,66.4,0,0,44.2,0,0,55.2,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19470401,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,0,0,1,0,0,1.78,0,0,-9999,0,0,2.22,0,0,0.2,0,0,78.1,0,0,25.0,0,0,59.5,0,0,38.1,0,0,48.7,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19470501,12,0,0,214,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,5,0,0,0,0,0,0.73,0,0,-9999,0,0,4.34,0,0,0.0,0,0,87.1,0,0,32.0,0,0,70.0,0,0,46.8,0,0,58.5,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19470601,184,0,0,39,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,2,0,0,3.02,0,0,-9999,0,0,6.64,0,0,0.0,0,0,96.1,0,0,43.0,0,0,81.5,0,0,58.1,0,0,69.8,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19470701,429,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.66,0,0,-9999,0,0,0.72,0,0,0.0,0,0,109.9,0,0,51.1,0,0,93.0,0,0,64.2,0,0,78.6,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19470801,593,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1.01,0,0,-9999,0,0,1.72,0,0,0.0,0,0,109.0,0,0,60.1,0,0,99.3,0,0,68.9,0,0,84.0,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19470901,328,0,0,33,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,-9999,0,0,0.06,0,0,0.0,0,0,113.0,0,0,34.0,0,0,91.8,0,0,57.7,0,0,74.8,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19471001,129,0,0,117,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.25,0,0,-9999,0,0,0.50,0,0,0.0,0,0,100.9,0,0,33.1,0,0,80.6,0,0,50.0,0,0,65.3,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19480401,31,0,0,235,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0.28,0,0,-9999,0,0,0.35,0,0,0.0,0,0,95.0,0,0,23.0,0,0,74.3,0,0,42.1,0,0,58.1,0,0
